"fecha","indicador","valor"
"1873-01-01","anomalia_temperatura_deg_c","-0.07495"
"1873-02-01","anomalia_temperatura_deg_c","-0.30414"
"1873-03-01","anomalia_temperatura_deg_c","-0.21247"
"1873-04-01","anomalia_temperatura_deg_c","-0.29647"
"1873-05-01","anomalia_temperatura_deg_c","-0.31122"
"1873-06-01","anomalia_temperatura_deg_c","-0.42244"
"1873-07-01","anomalia_temperatura_deg_c","-0.20728"
"1873-08-01","anomalia_temperatura_deg_c","-0.23584"
"1873-09-01","anomalia_temperatura_deg_c","-0.35215"
"1873-10-01","anomalia_temperatura_deg_c","-0.40112"
"1873-11-01","anomalia_temperatura_deg_c","-0.33701"
"1873-12-01","anomalia_temperatura_deg_c","-0.38223"
"1874-01-01","anomalia_temperatura_deg_c","-0.22467"
"1874-02-01","anomalia_temperatura_deg_c","-0.47522"
"1874-03-01","anomalia_temperatura_deg_c","-0.41832"
"1874-04-01","anomalia_temperatura_deg_c","-0.44464"
"1874-05-01","anomalia_temperatura_deg_c","-0.33629"
"1874-06-01","anomalia_temperatura_deg_c","-0.5655"
"1874-07-01","anomalia_temperatura_deg_c","-0.19331"
"1874-08-01","anomalia_temperatura_deg_c","-0.40979"
"1874-09-01","anomalia_temperatura_deg_c","-0.28017"
"1874-10-01","anomalia_temperatura_deg_c","-0.52547"
"1874-11-01","anomalia_temperatura_deg_c","-0.40593"
"1874-12-01","anomalia_temperatura_deg_c","-0.42122"
"1875-01-01","anomalia_temperatura_deg_c","-0.28572"
"1875-02-01","anomalia_temperatura_deg_c","-0.17258"
"1875-03-01","anomalia_temperatura_deg_c","-0.31089"
"1875-04-01","anomalia_temperatura_deg_c","-0.26867"
"1875-05-01","anomalia_temperatura_deg_c","-0.17531"
"1875-06-01","anomalia_temperatura_deg_c","-0.2782"
"1875-07-01","anomalia_temperatura_deg_c","-0.34809"
"1875-08-01","anomalia_temperatura_deg_c","-0.16317"
"1875-09-01","anomalia_temperatura_deg_c","-0.10691"
"1875-10-01","anomalia_temperatura_deg_c","-0.15251"
"1875-11-01","anomalia_temperatura_deg_c","-0.21895"
"1875-12-01","anomalia_temperatura_deg_c","-0.41682"
"1876-01-01","anomalia_temperatura_deg_c","-0.3884"
"1876-02-01","anomalia_temperatura_deg_c","-0.29686"
"1876-03-01","anomalia_temperatura_deg_c","-0.3001"
"1876-04-01","anomalia_temperatura_deg_c","-0.30382"
"1876-05-01","anomalia_temperatura_deg_c","-0.44785"
"1876-06-01","anomalia_temperatura_deg_c","-0.41942"
"1876-07-01","anomalia_temperatura_deg_c","-0.25468"
"1876-08-01","anomalia_temperatura_deg_c","-0.29607"
"1876-09-01","anomalia_temperatura_deg_c","-0.48012"
"1876-10-01","anomalia_temperatura_deg_c","-0.35437"
"1876-11-01","anomalia_temperatura_deg_c","-0.33098"
"1876-12-01","anomalia_temperatura_deg_c","-0.27948"
