"iso3","anio","valor_en_twh"
"GBR","2012","3.48272"
"GBR","2013","5.8598223"
"GBR","2014","4.529478"
"GBR","2015","3.5043516"
"GBR","2016","6.30517"
"GBR","2017","8.639753"
"GBR","2018","7.9726562"
"GBR","2019","6.8186812"
"GBR","2020","6.475377"
"GBR","2021","6.4024935"
"GBR","2022","6.5890055"
"USA","1990","16.732742"
"USA","1991","19.388733"
"USA","1992","22.044724"
"USA","1993","25.833727"
"USA","1994","28.846285"
"USA","1995","30.38405"
"USA","1996","21.78628"
"USA","1997","28.832184"
"USA","1998","31.44432"
"USA","1999","32.786575"
"USA","2000","36.307648"
"USA","2001","39.80129"
"USA","2002","48.25923"
"USA","2003","63.254513"
"USA","2004","77.1594"
"USA","2005","90.5215"
"USA","2006","117.97942"
"USA","2007","162.89423"
"USA","2008","231.79965"
"USA","2009","262.63998"
"USA","2010","309.49323"
"USA","2011","347.36652"
"USA","2012","331.92157"
"USA","2013","348.46423"
"USA","2014","370.0955"
"USA","2015","381.23245"
"USA","2016","407.63513"
"USA","2017","420.886"
"USA","2018","435.0465"
"USA","2019","429.92557"
"USA","2020","393.43924"
"USA","2021","425.1854"
"USA","2022","451.83002"
"OWID_WRL","1990","86.58631"
"OWID_WRL","1991","97.41144"
"OWID_WRL","1992","93.686874"
"OWID_WRL","1993","95.28714"
"OWID_WRL","1994","105.83975"
"OWID_WRL","1995","109.823586"
"OWID_WRL","1996","110.976395"
"OWID_WRL","1997","127.394325"
"OWID_WRL","1998","121.57154"
"OWID_WRL","1999","117.51925"
"OWID_WRL","2000","112.215546"
"OWID_WRL","2001","122.57842"
"OWID_WRL","2002","144.0404"
"OWID_WRL","2003","178.25037"
"OWID_WRL","2004","201.25859"
"OWID_WRL","2005","237.02118"
"OWID_WRL","2006","301.90253"
"OWID_WRL","2007","409.83047"
"OWID_WRL","2008","555.0375"
"OWID_WRL","2009","611.834"
"OWID_WRL","2010","706.21136"
"OWID_WRL","2011","750.47614"
"OWID_WRL","2012","762.8422"
"OWID_WRL","2013","831.64355"
"OWID_WRL","2014","907.2562"
"OWID_WRL","2015","907.02606"
"OWID_WRL","2016","941.4319"
"OWID_WRL","2017","971.13617"
"OWID_WRL","2018","1080.6879"
"OWID_WRL","2019","1139.7861"
"OWID_WRL","2020","1071.7212"
"OWID_WRL","2021","1121.7223"
"OWID_WRL","2022","1187.2043"
