"anio","tipo_energia","valor_en_twh","porcentaje"
"1983","Biomasa tradicional ","10321.0","11.62606155"
"1983","Carbón","22046.346","24.83404471"
"1983","Eólica","0.09697445","0.000109237"
"1983","Gas natural","14703.833","16.56309151"
"1983","Hidro","5552.5425","6.254645949"
"1983","Nuclear","2933.459","3.304386676"
"1983","Otras renovables","211.77058","0.238548377"
"1983","Petróleo","32956.613","37.12388442"
"1983","Solar","0.008870971","9.99268e-06"
"1983","Total","88774.68917","100.0"
"1984","Biocombustibles","57.806423","0.062420117"
"1984","Biomasa tradicional ","10430.0","11.26244774"
"1984","Carbón","23001.078","24.83685897"
"1984","Eólica","0.13234167","0.000142904"
"1984","Gas natural","15902.68","17.17191779"
"1984","Hidro","5740.62","6.198795089"
"1984","Nuclear","3559.8567","3.843978913"
"1984","Otras renovables","236.32065","0.255182068"
"1984","Petróleo","33680.13","36.36823626"
"1984","Solar","0.018661888","2.01513e-05"
"1984","Total","92608.64278","100.0"
"1985","Biocombustibles","68.41009","0.072126496"
"1985","Biomasa tradicional ","10541.0","11.11364406"
"1985","Carbón","23987.826","25.29097429"
"1985","Eólica","0.18989833","0.000200215"
"1985","Gas natural","16262.222","17.14567374"
"1985","Hidro","5852.605","6.170550118"
"1985","Nuclear","4224.8374","4.454353389"
"1985","Otras renovables","243.15495","0.25636444"
"1985","Petróleo","33667.098","35.49607663"
"1985","Solar","0.03473722","3.66243e-05"
"1985","Total","94847.37808","100.0"
"1986","Biocombustibles","84.20299","0.086941302"
"1986","Biomasa tradicional ","10653.0","10.99943946"
"1986","Carbón","24258.035","25.04691519"
"1986","Eólica","0.4105228","0.000423873"
"1986","Gas natural","16421.11","16.95513051"
"1986","Hidro","5931.9126","6.124820572"
"1986","Nuclear","4525.0864","4.672243868"
"1986","Otras renovables","263.68542","0.272260566"
"1986","Petróleo","34712.902","35.84177829"
"1986","Solar","0.04489833","4.63584e-05"
"1986","Total","96850.38983","100.0"
"1987","Biocombustibles","85.33012","0.085358706"
"1987","Biomasa tradicional ","10765.0","10.76860638"
"1987","Carbón","25212.426","25.22087242"
"1987","Eólica","0.57772696","0.000577921"
"1987","Gas natural","17281.895","17.28768461"
"1987","Hidro","6012.1157","6.01412982"
"1987","Nuclear","4922.331","4.923980031"
"1987","Otras renovables","282.4433","0.282537921"
"1987","Petróleo","35404.36","35.41622082"
"1987","Solar","0.031353053","3.13636e-05"
"1987","Total","99966.5102","100.0"
"1988","Biocombustibles","89.560196","0.086582519"
"1988","Biomasa tradicional ","10879.0","10.51729747"
"1988","Carbón","25967.129","25.10377978"
"1988","Eólica","0.980478","0.000947879"
"1988","Gas natural","18088.848","17.48743408"
"1988","Hidro","6204.8037","5.998507792"
"1988","Nuclear","5366.448","5.188025552"
"1988","Otras renovables","290.86093","0.281190452"
"1988","Petróleo","36551.46","35.33620533"
"1988","Solar","0.030149443","2.9147e-05"
"1988","Total","103439.1205","100.0"
"1989","Biocombustibles","95.68924","0.09080225"
"1989","Biomasa tradicional ","10995.0","10.43346918"
"1989","Carbón","26215.674","24.87680098"
"1989","Eólica","7.835361","0.007435198"
"1989","Gas natural","18888.676","17.92400354"
"1989","Hidro","6172.975","5.85771209"
"1989","Nuclear","5518.996","5.23713276"
"1989","Otras renovables","322.35043","0.30588752"
"1989","Petróleo","37164.043","35.26602068"
"1989","Solar","0.77539134","0.000735791"
"1989","Total","105382.0144","100.0"
"1990","Biocombustibles","106.64288","0.099931976"
"1990","Biomasa tradicional ","11111.0","10.41179853"
"1990","Carbón","25906.625","24.27635318"
"1990","Eólica","10.741176","0.010065247"
"1990","Gas natural","19481.125","18.25520194"
"1990","Hidro","6383.708","5.981989164"
"1990","Nuclear","5676.7207","5.319491699"
"1990","Otras renovables","361.19138","0.338462054"
"1990","Petróleo","37676.57","35.30563012"
"1990","Solar","1.1483465","0.001076082"
"1990","Total","106715.4725","100.0"
"1991","Biocombustibles","110.728714","0.102986592"
"1991","Biomasa tradicional ","11243.0","10.45689243"
"1991","Carbón","25658.182","23.86416873"
"1991","Eólica","12.082573","0.011237763"
